Name,Country,Province,Population,Longitude,Latitude
Tirane,AL,Albania,192000,19.8,41.3
Shkoder,AL,Albania,62000,19.2,42.2
Durres,AL,Albania,60000,19.3,41.3
Vlore,AL,Albania,56000,19.3,40.3
Elbasan,AL,Albania,53000,20.1,41.1
Korce,AL,Albania,52000,20.5,40.4
Komotini,GR,Anatoliki Makedhonia kai Thraki,,,
Kavalla,GR,Anatoliki Makedhonia kai Thraki,56705,,
Athens,GR,Attiki,885737,23.7167,37.9667
Piraeus,GR,Attiki,196389,,
Patrai,GR,Dhytiki Ellas,142163,,
Kozani,GR,Dhytiki Makedhonia,,,
Korfu,GR,Ionioi Nisoi,,,
Ioannina,GR,Ipiros,,,
Thessaloniki,GR,Kedriki Makedhonia,406413,22.95,40.6167
Iraklion,GR,Kriti,102398,,
Ermoupoli,GR,Notion Aiyaion,,,
Tripoli,GR,Peloponnisos,,,
Lamia,GR,Sterea Ellas,,,
Larisa,GR,Thessalia,102426,,
Volos,GR,Thessalia,71378,,
Mytilini,GR,Voreion Aiyaion,,,
Skopje,MK,Macedonia,506926,21.4,42
Belgrade,SRB,Serbia,1407073,20.4667,44.8
Podgorica,MNE,Montenegro,169132,19.16,42.26
Pristina,KOS,Kosovo,,21.1,42.4
Andorra la Vella,AND,Andorra,15600,1.3,42.3
Strasbourg,F,Alsace,252338,7.76667,48.5833
Mulhouse,F,Alsace,108357,,
Bordeaux,F,Aquitaine,210336,-0.4,44.51
Clermont Ferrand,F,Auvergne,136181,3.4,45.5
Caen,F,Basse Normandie,112846,-0.2,49.3
Rennes,F,Bretagne,197536,-1.4,48.1
Brest,F,Bretagne,147956,,
Dijon,F,Bourgogne,146703,5.2,47.2
Orleans,F,Centre,105111,1.5,47.5
Tours,F,Centre,129509,,
Reims,F,Champagne Ardenne,180620,4.5,49.1
Chalons en Champagne,F,Champagne Ardenne,,4.4,49
Ajaccio,F,Corse,53500,8.4,41.4
Besancon,F,Franche Comte,113828,6.2,47.1
Rouen,F,Haute Normandie,102723,1.5,49.3
Le Havre,F,Haute Normandie,195854,,
Paris,F,Ile de France,2152423,2.48333,48.8167
Boulogne Billancourt,F,Ile de France,101743,,
Montpellier,F,Languedoc Roussillon,207996,3.5,43.3
Nimes,F,Languedoc Roussillon,128471,,
Perpignan,F,Languedoc Roussillon,105983,,
Limoges,F,Limousin,133464,1.2,45.5
Metz,F,Lorraine,119594,6.2,49.1
Nancy,F,Lorraine,99351,6.1,48.4
Toulouse,F,Midi Pyrenees,358688,1.2,43.4
Lille,F,Nord Pas de Calais,172142,3.3,50.37
Nantes,F,Pays de la Loire,244995,-1.56667,47.25
Angers,F,Pays de la Loire,141404,,
Le Mans,F,Pays de la Loire,145502,,
Amiens,F,Picardie,131872,2.19,49.55
Poitiers,F,Poitou Charentes,79300,0.2,46.4
Marseille,F,Provence Cote dAzur,800550,5.2,43.2
Nice,F,Provence Cote dAzur,342439,7.26667,43.7
Toulon,F,Provence Cote dAzur,167619,,
Aix en Provence,F,Provence Cote dAzur,123842,,
Lyon,F,Rhone Alpes,415487,4.78333,45.7
Grenoble,F,Rhone Alpes,150758,,
Saint Etienne,F,Rhone Alpes,199396,,
Villeurbanne,F,Rhone Alpes,116872,,
Sevilla,E,Andalusia,714148,,
Almeria,E,Andalusia,167361,,
Cadiz,E,Andalusia,155438,-6.2,36.3
Cordoba,E,Andalusia,315948,,
Granada,E,Andalusia,271180,,
Huelva,E,Andalusia,145049,,
Malaga,E,Andalusia,531443,,
Jerez de la Frontera,E,Andalusia,190390,,
Jaen,E,Andalusia,112772,,
Algeciras,E,Andalusia,103787,,
Zaragoza,E,Aragon,606620,,
Oviedo,E,Asturias,201712,,
Gijon,E,Asturias,269644,,
Palma de Mallorca,E,Balearic Islands,322008,,
Vitoria Gasteiz,E,Basque Country,214148,,
Bilbao,E,Basque Country,371876,,
Baracaldo,E,Basque Country,103594,,
Donostia,E,Basque Country,177929,,
Santa Cruz de Tenerife,E,Canary Islands,203929,,
Las Palmas de Gran Canaria,E,Canary Islands,371787,,
La Laguna,E,Canary Islands,125183,,
Santander,E,Cantabria,194822,,
Valladolid,E,Castile and Leon,336917,,
Burgos,E,Castile and Leon,166251,,
Leon,E,Castile and Leon,147311,,
Salamanca,E,Castile and Leon,167382,,
Toledo,E,Castile La Mancha,,,
Albacete,E,Castile La Mancha,141179,,
Barcelona,E,Catalonia,1630867,2.15,41.4
Lleida,E,Catalonia,114234,,
Tarragona,E,Catalonia,114630,,
Hospitalet de Llobregat,E,Catalonia,266242,,
Badalona,E,Catalonia,219340,,
Sabadell,E,Catalonia,189006,,
Terrassa,E,Catalonia,161428,,
Santa Coloma de Gramanet,E,Catalonia,131764,,
Mataro,E,Catalonia,102117,,
Badajoz,E,Estremadura,130153,,
Merida,E,Estremadura,,,
La Coruna,E,Galicia,255087,,
Vigo,E,Galicia,288573,,
Orense,E,Galicia,108547,,
Santiago de Compostella,E,Galicia,,,
Madrid,E,Madrid,3041101,-3.68333,40.4167
Mostoles,E,Madrid,199141,,
Leganes,E,Madrid,178162,,
Alcala de Henares,E,Madrid,166250,,
Fuenlabrada,E,Madrid,158212,,
Getafe,E,Madrid,144368,,
Alcorcon,E,Madrid,142165,,
Murcia,E,Murcia,341531,,
Cartagena,E,Murcia,179659,,
Pamplona,E,Navarre,182465,,
Logrono,E,Rioja,124823,,
Valencia,E,Valencia,764293,-0.383333,39.4667
Alicante,E,Valencia,274964,,
Elx,E,Valencia,191305,,
Castellon de la Plana,E,Valencia,139094,,
Eisenstadt,A,Burgenland,10102,16,48
Klagenfurt,A,Carinthia,87321,14.21,46.38
