Country,Name,Percentage
AL,Greeks,3.0
AL,Albanian,95.0
GR,Greek,98.0
MK,Albanian,22.0
MK,Serb,2.0
MK,Macedonian,65.0
MK,Turkish,4.0
MK,Gypsy,3.0
SRB,Serb,82.9
SRB,Montenegrin,0.9
SRB,Hungarian,3.9
SRB,Roma,1.4
SRB,Bosniak,1.8
SRB,Croat,1.1
MNE,Montenegrin,43.0
MNE,Serb,32.0
MNE,Bosniak,8.0
MNE,Albanian,5.0
KOS,Albanian,88.0
KOS,Serb,7.0
AND,French,6.0
AND,Spanish,61.0
AND,Andorran,30.0
E,Mediterranean Nordic,100.0
A,German,99.4
A,Slovene,0.2
A,Croat,0.3
CZ,German,0.5
CZ,Polish,0.6
CZ,Roma,0.3
CZ,Hungarian,0.2
CZ,Czech,94.4
CZ,Slovak,3.0
D,Greek,0.4
D,Turkish,2.3
D,German,95.1
D,Italian,0.7
D,Polish,0.4
H,Serb,2.0
H,German,2.6
H,Roma,4.0
H,Hungarian,89.9
H,Slovak,0.8
H,Romanian,0.7
FL,Italian,5.0
FL,Alemannic,95.0
SK,German,0.1
SK,Polish,0.1
SK,Roma,1.5
SK,Hungarian,10.7
SK,Czech,1.0
SK,Slovak,85.7
SK,Ukrainian,0.3
SK,Ruthenian,0.3
SLO,Serb,2.0
SLO,Slovene,91.0
SLO,Muslim,1.0
SLO,Croat,3.0
BY,Polish,4.1
BY,Ukrainian,2.9
BY,Russian,13.2
BY,Byelorussian,77.9
LV,Polish,2.3
LV,Ukrainian,3.4
LV,Russian,33.8
LV,Byelorussian,4.5
LV,Latvian,51.8
LT,Polish,7.7
LT,Russian,8.6
LT,Byelorussian,1.5
LT,Lithuanian,80.1
PL,German,1.3
PL,Polish,97.6
PL,Ukrainian,0.6
PL,Byelorussian,0.5
UA,Ukrainian,73.0
UA,Russian,22.0
UA,Jewish,1.0
R,Ukrainian,3.0
R,Russian,81.5
R,Byelorussian,0.8
R,Tatar,3.8
R,Chuvash,1.2
R,Bashkir,0.9
R,Moldavian,0.7
B,Fleming,55.0
B,Walloon,33.0
NL,Dutch,96.0
BIH,Serb,40.0
BIH,Muslim,38.0
BIH,Croat,22.0
HR,Serb,12.0
HR,Hungarian,0.5
HR,Muslim,0.9
HR,Croat,78.0
HR,Slovene,0.5
BG,Macedonian,2.5
BG,Roma,2.6
BG,Russian,0.2
BG,Turk,8.5
BG,Bulgarian,85.3
BG,Armenian,0.3
RO,German,0.4
RO,Roma,1.6
RO,Hungarian,8.9
RO,Romanian,89.1
TR,Turkish,80.0
TR,Kurdish,20.0
EW,Ukrainian,3.2
EW,Russian,30.3
EW,Byelorussian,1.8
EW,Finn,1.1
EW,Estonian,61.5
FARX,Scandinavian,100.0
S,foreign-born first-generation,12.0
MC,French,47.0
MC,Italian,16.0
MC,Monegasque,16.0
GBG,Norman-French,100.0
IS,Celt,100.0
GBJ,Norman-French,100.0
MD,Ukrainian,13.8
MD,Russian,13.0
MD,Jewish,1.5
MD,Bulgarian,2.0
MD,Gagauz,3.5
MD,Moldavian/Romanian,64.5
SVAX,Norwegian,55.4
SVAX,Russian Ukrainian,44.3
GB,English,81.5
GB,Irish,2.4
GB,Welsh,1.9
GB,Scottish,9.6
GB,Ulster,1.8
AFG,Tajik,25.0
AFG,Pashtun,38.0
AFG,Uzbek,6.0
AFG,Hazara,19.0
TJ,Han Chinese,91.9
IR,Arab,3.0
IR,Persian,51.0
IR,Baloch,2.0
IR,Azerbaijani,24.0
IR,Kurd,7.0
IR,Lur,2.0
IR,Turkmen,2.0
IR,Gilaki Mazandarani,8.0
TAD,Russian,3.5
TAD,Tajik,64.9
TAD,Uzbek,25.0
TM,Russian,9.8
TM,Uzbek,9.0
TM,Turkmen,73.3
TM,Kazak,2.0
UZB,Russian,8.3
UZB,Tatar,2.4
UZB,Tajik,4.7
UZB,Uzbek,71.4
UZB,Kazak,4.1
UZB,Karakalpak,2.1
ARM,Russian,2.0
ARM,Armenian,93.0
ARM,Azeri,3.0
GE,Russian,6.3
GE,Armenian,8.1
GE,Azeri,5.7
GE,Georgian,70.1
GE,Ossetian,3.0
GE,Abkhaz,1.8
AZ,Russian,2.5
AZ,Armenian,2.3
AZ,Azeri,90.0
AZ,Dagestani Peoples,3.2
BRN,Arab,10.0
BRN,Asian,13.0
BRN,Bahraini,63.0
BRN,Iranian,8.0
BD,Bengali,98.0
MYA,Indian,2.0
MYA,Chinese,3.0
MYA,Burman,68.0
MYA,Shan,9.0
MYA,Karen,7.0
MYA,Rakhine,4.0
MYA,Mon,2.0
IND,Dravidian,25.0
IND,Indo-Aryan,72.0
IND,Mongol,3.0
BHT,Bhote,50.0
BHT,Nepalese,35.0
BRU,Chinese,20.0
BRU,Malay,64.0
MAL,Indian,9.0
MAL,Chinese,32.0
MAL,Malay,59.0
LAO,Lao Loum,68.0
LAO,Lao Theung,22.0
LAO,Lao Soung Hmong Yao,9.0
LAO,Vietnamese/Chinese,1.0
THA,Chinese,14.0
THA,Thai,75.0
K,Chinese,1.0
K,Khmer,90.0
K,Vietnamese,5.0
VN,Chinese,3.0
VN,Vietnamese,85.0
KAZ,German,4.7
KAZ,Ukrainian,5.2
KAZ,Russian,37.0
KAZ,Tatar,2.0
KAZ,Uzbek,2.1
