Country,Name,Percentage
AL,Muslim,70.0
AL,Roman Catholic,10.0
AL,Christian Orthodox,20.0
GR,Muslim,1.3
GR,Christian Orthodox,98.0
MK,Muslim,30.0
MK,Christian Orthodox,67.0
SRB,Christian Orthodox,85.0
SRB,Muslim,3.2
SRB,Roman Catholic,5.5
SRB,Protestant,1.1
MNE,Christian Orthodox,74.2
MNE,Muslim,17.7
MNE,Roman Catholic,3.5
AND,Roman Catholic,100.0
F,Muslim,1.0
F,Jewish,1.0
F,Roman Catholic,90.0
F,Protestant,2.0
E,Roman Catholic,99.0
A,Roman Catholic,85.0
A,Protestant,6.0
CZ,Roman Catholic,39.2
CZ,Protestant,4.6
CZ,Christian Orthodox,3.0
D,Roman Catholic,37.0
D,Protestant,45.0
H,Roman Catholic,67.5
H,Protestant,25.0
I,Roman Catholic,98.0
FL,Roman Catholic,87.3
FL,Protestant,8.3
SK,Roman Catholic,60.3
SK,Protestant,8.4
SK,Christian Orthodox,4.1
SLO,Muslim,1.0
SLO,Roman Catholic,96.0
CH,Roman Catholic,47.6
CH,Protestant,44.3
BY,Christian Orthodox,60.0
PL,Roman Catholic,95.0
B,Roman Catholic,75.0
B,Protestant,25.0
L,Roman Catholic,97.0
L,Jewish,3.0
NL,Muslim,3.0
NL,Roman Catholic,34.0
NL,Protestant,25.0
BIH,Muslim,40.0
BIH,Protestant,4.0
BIH,Christian Orthodox,31.0
BIH,Roman Catholic,15.0
HR,Protestant,0.4
HR,Christian Orthodox,11.1
HR,Roman Catholic,76.5
HR,Muslim,1.2
BG,Muslim,13.0
BG,Jewish,0.8
BG,Roman Catholic,0.7
BG,Christian Orthodox,85.0
RO,Roman Catholic,6.0
RO,Protestant,6.0
RO,Christian Orthodox,70.0
TR,Muslim,99.8
DK,Protestant,91.0
DK,Roman Catholic,2.0
FARX,Protestant,100.0
SF,Christian Orthodox,1.0
SF,Protestant,89.0
N,Protestant,87.8
N,Roman Catholic,1.0
S,Roman Catholic,1.5
S,Protestant,94.0
S,Pentecostal,1.0
MC,Roman Catholic,95.0
GBZ,Muslim,8.0
GBZ,Jewish,2.0
GBZ,Roman Catholic,74.0
GBZ,Protestant,11.0
V,Roman Catholic,100.0
IS,Protestant,96.0
IS,Roman Catholic,3.0
IRL,Roman Catholic,93.0
IRL,Anglican,3.0
RSM,Roman Catholic,100.0
M,Roman Catholic,98.0
MD,Jewish,1.5
MD,Christian Orthodox,98.5
P,Roman Catholic,97.0
P,Protestant,1.0
AFG,Muslim,99.0
TJ,Muslim,2.0
TJ,Christian,1.0
IR,Muslim,99.0
IR,Bahai,1.0
PK,Muslim,97.0
TAD,Muslim,85.0
TM,Muslim,87.0
TM,Christian Orthodox,11.0
UZB,Muslim,88.0
UZB,Christian Orthodox,9.0
ARM,Christian Orthodox,94.0
GE,Muslim,11.0
GE,Armenian Apostolic,8.0
GE,Christian Orthodox,75.0
AZ,Muslim,93.4
AZ,Christian Orthodox,4.8
BRN,Muslim,100.0
BD,Muslim,83.0
BD,Hindu,16.0
MYA,Muslim,4.0
MYA,Christian,4.0
MYA,Buddhist,89.0
IND,Muslim,14.0
IND,Christian,2.4
IND,Buddhist,0.7
IND,Hindu,80.0
IND,Sikh,2.0
IND,Jains,0.5
BHT,Buddhist,75.0
BHT,Hindu,25.0
BRU,Muslim,63.0
BRU,Christian,8.0
BRU,Buddhist,14.0
LAO,Buddhist,60.0
THA,Muslim,3.8
THA,Buddhist,95.0
THA,Christian,0.5
THA,Hindu,0.1
K,Buddhist,95.0
KAZ,Muslim,47.0
KAZ,Protestant,2.0
KAZ,Christian Orthodox,44.0
HONX,Christian,10.0
MACX,Roman Catholic,7.0
MACX,Protestant,1.0
MACX,Buddhist,45.0
MNG,Muslim,4.0
NEP,Muslim,3.0
NEP,Buddhist,5.0
NEP,Hindu,90.0
XMAS,Muslim,25.0
XMAS,Christian,18.0
XMAS,Buddhist,36.0
COCO,Muslim,80.0
COCO,Christian,20.0
CY,Muslim,18.0
CY,Christian Orthodox,78.0
GAZA,Muslim,98.7
GAZA,Jewish,0.6
GAZA,Christian,0.7
IL,Christian,2.0
IL,Muslim,14.0
IL,Druze,2.0
IL,Judaism,82.0
ET,Muslim,94.0
ET,Coptic Christian,6.0
RI,Muslim,87.0
RI,Roman Catholic,3.0
RI,Protestant,6.0
RI,Buddhist,1.0
RI,Hindu,2.0
TL,Muslim,1.0
TL,Protestant,1.0
TL,Roman Catholic,98.0
PNG,Roman Catholic,22.0
PNG,Protestant,26.0
PNG,Anglican,5.0
PNG,Seventh-Day Adventist,1.0
PNG,Presbyterian,8.0
PNG,Evangelical Alliance,4.0
IRQ,Muslim,97.0
IRQ,Christian,3.0
JOR,Muslim,92.0
JOR,Christian,8.0
